CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
P_F3_FEF52_S1R,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Non financial sectors, except households"
IIP,International Investment Position
O_FEF52_S121,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Central bank"
O_FEF53_S121,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Central bank"
O_FEF51_S121,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), Central bank"
P_F3_FEF53_S1R,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Non financial sectors, except households"
O_FEF52_S13,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), General government"
O_FEF5_S13,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), General government"
P_F3_FEF51_S1R,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Non financial sectors, except households"
O_FEF53_S1R,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Non financial sectors, except households"
O_F4_S1Z_NV,"Other investment, Loans, Other Sectors (BPM6)"
O_FEF52_S1R,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Non financial sectors, except households"
O_FEF52_S1X,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Monetary authorities"
O_FEF5_S1X,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), Monetary authorities"
O_FEF51_S13,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), General government"
O_FEF53_S13,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), General government"
O_FEF51_S1R,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), Non financial sectors, except households"
O_FEF52_S1V,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF5_S1X,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Monetary authorities"
O_FEF5_S121,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), Central bank"
O_FEF5_S1R,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), Non financial sectors, except households"
R_FR1_MV,"Reserve assets, Securities (equity, investment fund shares/units and debt securities)"
O_FEF53_S1X,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Monetary authorities"
P_F3_FEF53_S1X,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Monetary authorities"
O_FEF51_S1X,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), Monetary authorities"
P_F3_FEF5_S1R,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Non financial sectors, except households"
P_F3_FEF51_S1X,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Monetary authorities"
O_FEF5,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing)"
P_F3_FEF5,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing)"
NIIP,Net International Investment Position
F72_T,Employee stock options
F71_T,Financial derivatives
F_F7_T,Financial derivatives (other than reserves) and employee stock options
F712_T,Forward type
F711A_T,Financial derivatives (other than reserves) options
O_FEF5_S1Z,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), Other Sectors (BPM6)"
F_F7_S1Z_T,"Financial derivatives (other than reserves) and employee stock options, Other Sectors (BPM6)"
F_F7_S1V_T,"Financial derivatives (other than reserves) and employee stock options, Non financial corporations, households and NPISH"
O_FEF51_S1Z,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), Other Sectors (BPM6)"
O_FEF53_S1Z,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Other Sectors (BPM6)"
O_FEF52_S1Z,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Other Sectors (BPM6)"
P_F3_FEF5_S1Z,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Other Sectors (BPM6)"
P_F3_FEF51_S1Z,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Other Sectors (BPM6)"
P_F3_FEF52_S1Z,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Other Sectors (BPM6)"
P_F3_FEF53_S1Z,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Other Sectors (BPM6)"
P_F3_S,"Portfolio investment, Debt securities, Short-term"
P_F3_L,"Portfolio investment, Debt securities, Long-term"
P,Portfolio investment
O_FLA_D41,"Other investment, Debt instruments other than insurance, pension, and standardised schemes, Investment income, interest income"
CKAB,Current and capital account balance (credit less debit)
FXR_F72,"Financial derivatives and employee stock options (other than reserves), Employee stock options"
FXR_F71OTR,"Financial derivatives and employee stock options (other than reserves), Financial derivatives (other than reserves)"
FXR_F712,"Financial derivatives and employee stock options (other than reserves), Forward type"
FXR_OPT,"Financial derivatives and employee stock options (other than reserves), Options"
R_FK,"Reserve assets, Reserve position in the IMF"
R_F11A,"Reserve assets, Monetary gold: gold bullion"
R_F11B,"Reserve assets, Unallocated gold accounts"
R_F2CMA_S121,"Reserve assets, Currency and deposits, Claims on monetary authorities, Central bank"
R_F2COE_S122,"Reserve assets, Currency and deposits, Claims on other entities, Deposit taking corporations, except the Central Bank"
R_F12,"Reserve assets, Special Drawing Rights (SDRs)"
G3,Nonmonetary gold
F_D4P,"Total financial assets/liabilities, Investment income on other investment income"
D4O,Other primary income
D45,Investment income on rent
ANPNFA,Acquisitions nonproduced nonfinancial assets
SCC2,All modes of transport; other than passenger and freight; including postal and courier services
SC1Z,"Transport, Passenger, Of which: Payable by Border, Seasonal, and Other S-T Workers"
SD5BT,"Travel services, Both Business and Personal Travel, Other Services"
O_F12,"Other investment, Special Drawing Rights (SDRs)"
R_F12_MV,"Reserve assets, Special Drawing Rights (SDRs)"
R_F11A_MV,"Reserve assets, Monetary gold: gold bullion"
R_F11Z_MV,"Reserve assets, Monetary gold: of which gold under swap for cash collateral"
R_F11B_MV,"Reserve assets, Unallocated gold accounts"
R_F71_T,"Reserve assets, Financial derivatives"
R_F2_NV,"Reserve assets, Currency and deposits"
R_F3_MV,"Reserve assets, Debt securities"
D4P,Investment income on other investment income
RUE,Reserves and Related items
FABXRRI,"Financial account balance, excluding reserves and related items"
FAB_AFR,"Financial account balance (assets less liabilities), Adjusted using IMF accounting records"
F7FCT_RC,Foreign currency derivatives by sector notional value of contracts with nonresidents total
F7FCT_PAY,Foreign currency derivatives by sector notional value of contracts with nonresidents total
F7FCT_RC_S1Z,"Foreign currency derivatives by sector notional value of contracts with nonresidents total, Other Sectors (BPM6)"
F7FC_RC_S121,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Central bank"
F7FC_RC_S1ZOTH,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Other sectors: Other"
F7FC_RC_S13,"Foreign currency derivatives by sector notional value of contracts with nonresidents, General government"
F7FC_PAY_S121,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Central bank"
F7FCT_PAY_S1Z,"Foreign currency derivatives by sector notional value of contracts with nonresidents total, Other Sectors (BPM6)"
F7FC_RC_S12R,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Other financial corporations"
F7FC_PAY_S13,"Foreign currency derivatives by sector notional value of contracts with nonresidents, General government"
F7FC_PAY_S1ZOTH,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Other sectors: Other"
F7FC_PAY_S12R,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Other financial corporations"
F7FC_PAY_S122,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Deposit taking corporations, except the Central Bank"
F7FC_RC_S122,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Deposit taking corporations, except the Central Bank"
R_F2CMA_NV,"Reserve assets, Currency and deposits, Claims on monetary authorities"
R_F2COE_NV,"Reserve assets, Currency and deposits, Claims on other entities"
R_FK_MV,"Reserve assets, Reserve position in the IMF"
TL_AFR,"Total liabilities, Adjusted using IMF accounting records"
TA_AFR,"Total assets, Adjusted using IMF accounting records"
DLNRES_DIC,Debt liabilities to nonresidents
DLNRES_DIC_S,"Debt liabilities to nonresidents, Short-term"
DLNRES_DIC_S1Z_S,"Debt liabilities to nonresidents, Other Sectors (BPM6), Short-term"
DLNRES_DIC_S1Z,"Debt liabilities to nonresidents, Other Sectors (BPM6)"
DCNRES_DIC_S1Z,"Debt claims on nonresidents, Other Sectors (BPM6)"
DCNRES_DIC_S1Z_S,"Debt claims on nonresidents, Other Sectors (BPM6), Short-term"
DCNRES_DIC,Debt claims on nonresidents
DCNRES_DIC_S,"Debt claims on nonresidents, Short-term"
NOTSDRBSKT,"Reseve Assets, Not in SDR basket"
_T,Total
