CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
SJ,Other business services
O_FL1_S12R,"Other investment, Debt instruments, Other financial corporations"
DXEF,"Direct investment, excluding exceptional financing"
SF4,Pension and standardized guarantee services
P_F3XEF,"Portfolio investment, Debt securities: excluding exceptional financing"
SDB1,Travel; personal; health-related
P_F3_S1X_L_MV,"Portfolio investment, Debt securities, Monetary authorities, Long-term"
D752_S1W,"Personal transfers (current transfers between resident and nonresident households), Financial corporations, nonfinancial corporations, households, and NPISHs"
SE2,Construction in the reporting economy
D74EF1,"Secondary income: grants received from IMF subsidy accounts (memo item: o/w exceptional financing), secondary income"
NNADISP,"Disposals, nonproduced nonfinancial assets"
SCB,All modes of transport; freight
R2,Total remittances (supplementary item)
SC4,Postal and courier services
O_FL1_S121,"Other investment, Debt instruments, Central bank"
O_F4_S12R_L_NV,"Other investment, Loans, Other financial corporations, Long-term"
O_F4_S12R_S_NV,"Other investment, Loans, Other financial corporations, Short-term"
NP,Nonproduced nonfinancial assets
P_F51_MV,"Portfolio investment, Equity"
D3_F5A,"Direct investment between fellow enterprises, Equity and investment fund shares/units: other than reinvestment of earnings"
P_F51_FEF1_S12R,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing), Other financial corporations"
O_F81_S1V_L,"Other investment, Trade credits and advances, Non financial corporations, households and NPISH, Long-term"
D_F_D4P,"Direct investment, Total financial assets/liabilities, Investment income on other investment income"
U2_FL_D4Q,"Direct investment between fellow enterprises if ultimate controlling parent is nonresident, Debt instruments, Investment income on interest and income attributable to policy holders"
O_F81_S1V_S,"Other investment, Trade credits and advances, Non financial corporations, households and NPISH, Short-term"
U1_FL_D4Q,"Direct investment between fellow enterprises if ultimate controlling parent is resident, Debt instruments, Investment income on interest and income attributable to policy holders"
CAB,Current account balance (credit less debit)
SG,Financial services
KAB,Capital account balance (credit less debit)
U3_FL_D4Q,"Direct investment between fellow enterprises if ultimate controlling parent is unknown, Debt instruments, Investment income on interest and income attributable to policy holders"
SJ1,Research and development services
_T_F_D4P,"All functional categories, Total financial assets/liabilities, Investment income on other investment income"
P_F51_FEF1_S13,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing), General government"
O_F4_S1X_S_NV,"Other investment, Loans, Monetary authorities, Short-term"
F12AFA_AFR,"Special Drawing Rights (SDRs): allocations, Adjusted using IMF accounting records"
D_F5A,"Direct investment, Equity and investment fund shares/units: other than reinvestment of earnings"
O_F_D4P,"Other investment, Total financial assets/liabilities, Investment income on other investment income"
D1_F5A,"Direct investor in direct invesment enterprises, Equity and investment fund shares/units: other than reinvestment of earnings"
SC3,Other modes of transport
O_F4_S1X_L_NV,"Other investment, Loans, Monetary authorities, Long-term"
P_F51_FEF1_S121,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing), Central bank"
S,Services
D74EF,Secondary income: o/w exceptional financing (memo item)
NNAACQ,Acquisitions/Disposals (net) of nonproduced nonfinancial assets
SE,Construction
P_F_D4P,"Portfolio investment, Total financial assets/liabilities, Investment income on other investment income"
SC11,Sea transport; passenger
SDB,Travel; personal
D62_S13,"Social benefits, General government"
P_F52_MV,"Portfolio investment, Investment fund shares/units"
SDA,Travel; business
SPX,Other services
R3_S15,"Total remittances and transfers (supplementary item), Non profit institutions serving households"
P_F51XEF,"Portfolio investment, Equity securities: excluding exceptional financing"
O_F2_S1V_L_NV,"Other investment, Currency and deposits, Non financial corporations, households and NPISH, Long-term"
P_F512_MV,"Portfolio investment, Unlisted shares"
D_FL,"Direct investment, Debt instruments"
P_F511_MV,"Portfolio investment, Listed shares"
GSIN1,"Goods, services and primary income"
D9Z,Grants received from IMF subsidy accounts (memo item: o/w exceptional financing)
SDA2,Travel; business; other
O_F4_S121_AFR,"Other investment, Loans, Central bank, Adjusted using IMF accounting records"
D8_S1W,"Adjustment for change in pension entitlements, Financial corporations, nonfinancial corporations, households, and NPISHs"
SC21,Air transport; passenger
SE1,Construction abroad
SC31,Other modes of transport; passenger
D2_F5A,"Direct investment enterprises in direct investor, Equity and investment fund shares/units: other than reinvestment of earnings"
O_F_FEF,"Other investment, Total financial assets/liabilities, Total exceptional financing"
D_F52B_S123,"Direct investment, Investment fund shares/units: reinvestment of earnings, Money market funds"
D_F5B,"Direct investment, Equity and investment fund shares/units: reinvestment of earnings"
O_F519_FEF1,"Other investment, Other equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing)"
SC32,Other modes of transport; freight
G,Goods
SD3,Travel; accommodation services
SF3,Auxiliary insurance services
SD2,Travel; local transport services
P_F52_D4432,"Portfolio investment, Investment fund shares/units, Investment income on reinvested earnings (investment income)"
SC12,Sea transport; freight
SAY,Goods for processing in reporting economy
D_FL1XEF,"Direct investment, Debt instruments (excluding exceptional financing)"
P_F_FEF,"Portfolio investment, Total financial assets/liabilities, Total exceptional financing"
SC,Transport
SD4,Travel; food-serving services
O_F66,"Other investment, Provisions for calls under standardized guarantee schemes"
SK1,Audiovisual and related services
SC22,Air transport; freight
O_F4_S13_AFR,"Other investment, Loans, General government, Adjusted using IMF accounting records"
